Review,Liked,Review_cleaned,Review_lemmatized,Review_tokenized,Review_Length,polarity,sentiment
Wow... Loved this place.,1,wow loved place,wow loved place,"['wow', 'loved', 'place']",24,0.8271,1
Crust is not good.,0,crust not good,crust not good,"['crust', 'not', 'good']",18,-0.3412,0
Not tasty and the texture was just nasty.,0,not tasty texture nasty,not tasty texture nasty,"['not', 'tasty', 'texture', 'nasty']",41,0.4449,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may recommendation loved it,stopped late may recommendation loved it,"['stopped', 'late', 'may', 'recommendation', 'loved', 'it']",87,0.4588,1
The selection on the menu was great and so were the prices.,1,the selection menu great prices,the selection menu great price,"['the', 'selection', 'menu', 'great', 'price']",59,0.6249,1
Now I am getting angry and I want my damn pho.,0,now i getting i want damn pho,now i getting i want damn pho,"['now', 'i', 'getting', 'i', 'want', 'damn', 'pho']",46,-0.34,0
Honeslty it didn't taste THAT fresh.),0,didnt taste that fresh,didnt taste that fresh,"['didnt', 'taste', 'that', 'fresh']",37,-0.2411,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,the potatoes like could tell made time kept,the potato like could tell made time kept,"['the', 'potato', 'like', 'could', 'tell', 'made', 'time', 'kept']",111,0.3612,1
The fries were great too.,1,the fries great too,the fry great too,"['the', 'fry', 'great', 'too']",25,0.6249,1
A great touch.,1,a great touch,a great touch,"['a', 'great', 'touch']",14,0.6249,1
Service was very prompt.,1,service,service,['service'],24,0.0,0
Would not go back.,0,would not go back,would not go back,"['would', 'not', 'go', 'back']",18,0.0,0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,the cashier no care ever i say still ended overpriced,the cashier no care ever i say still ended overpriced,"['the', 'cashier', 'no', 'care', 'ever', 'i', 'say', 'still', 'ended', 'overpriced']",99,0.25,1
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,i tried chicken,i tried chicken,"['i', 'tried', 'chicken']",60,0.0,0
I was disgusted because I was pretty sure that was human hair.,0,i i pretty sure human hair,i i pretty sure human hair,"['i', 'i', 'pretty', 'sure', 'human', 'hair']",62,0.6705,1
I was shocked because no signs indicate cash only.,0,i no only,i no only,"['i', 'no', 'only']",50,-0.296,0
Highly recommended.,1,highly recommended,highly recommended,"['highly', 'recommended']",19,0.2716,1
Waitress was a little slow in service.,0,waitress little slow service,waitress little slow service,"['waitress', 'little', 'slow', 'service']",38,0.0,0
"This place is not worth your time, let alone Vegas.",0,this place not worth time let vegas,this place not worth time let vega,"['this', 'place', 'not', 'worth', 'time', 'let', 'vega']",51,-0.1695,0
did not like at all.,0,not like all,not like all,"['not', 'like', 'all']",20,-0.2755,0
The Burrittos Blah!,0,the,the,['the'],19,0.0,0
